region,time,y1,y2,x_common1,x_common2,x_specific1_1,x_specific2_1
39,1,1.6982816055718173,-0.524509049151466,7.888709524182015,5.903998521326706,-2.63,30.2
39,2,2.3378394687148925,-0.4909596938787661,7.872683782462186,5.572914199451162,-1.92,42.2
40,1,1.0339838528606216,-0.6480316753827714,7.890357958543005,5.536546555280287,-1.79,20.7
40,2,1.920559997999246,-0.7959538327214944,7.895733914147075,6.133398042996649,-1.18,24.5
41,1,-1.3829130511019998,-0.7700293309198623,8.231642179973411,6.301336101932016,0.18,34.1
41,2,-0.9499015480455993,-0.8340781000768355,8.254814926850745,6.773080375655535,-0.52,40.2
42,1,1.1697360674139026,-0.9972499643576952,7.846746396377068,6.116995269555192,-0.04,26.3
42,2,2.028019928584881,-1.1680466821096231,7.872645680692354,6.730421263699221,-1.67,29.6
43,1,0.9475845462150281,0.15410290977360447,8.154988701965975,6.636077780672072,-1.04,23.6
43,2,1.4912277605709252,0.2684757118396276,7.8252452914317745,7.058930106779255,-1.08,25.2
44,1,1.7579110829924172,-2.1455528971005675,7.721215625052091,5.472270673671475,-1.47,17.5
44,2,2.0295423833275343,-2.0586295675303896,7.7684910167339725,6.030444846748866,-0.93,22.3
45,1,0.2402774470238678,0.8586393705003071,7.7957288374745115,6.1390221114655965,-0.72,18.4
45,2,0.6470266057694927,0.6375186198393287,7.853449461225534,6.181671598175927,-0.4,18.5
46,1,-0.9641111256437,-0.8508527777131855,8.088131869452887,7.992133407622422,0.43,126.1
46,2,-0.9968439026107528,-0.8462778656305443,8.145201543365612,8.393532918586978,0.63,127.6
47,1,-0.7296530952750423,-0.40708630569701565,8.105549032231357,7.140928365933525,-0.13,45.3
47,2,-0.5364282141865871,-0.4635102213829206,8.14366270183842,7.321386949756695,-0.1,45.9
48,1,-0.8387623518318854,-0.25306426558143813,8.013210766132241,6.738744736247855,-0.31,30.3
48,2,-0.5567276107553021,-0.3155880640441975,8.047765396346175,7.14409142408233,-0.37,32.0
49,1,-0.9093027549081695,-0.8813521915974581,8.29587297681289,6.893250592779255,0.38,32.6
49,2,-0.7871257618102169,-1.0353742317130363,8.354744847662525,7.183567178863431,0.22,32.3
50,1,-0.8740325533700275,-0.9362511365891492,8.247062848877691,7.003338148875867,0.08,42.8
50,2,-0.7589603490711248,-0.9530258142254997,8.26124231712591,7.491924296972337,0.29,42.1
51,1,-1.2581986334329573,-1.009449729911404,8.291145426954637,6.968097507988299,0.85,45.0
51,2,-1.2042783612973087,-1.1360222975311367,8.341743965964689,7.110451195027242,0.59,44.9
52,1,-1.1068412577674769,-0.29576344501941976,8.05114971042214,7.1742647862011175,-0.44,46.1
52,2,-0.8874809035968009,-0.5153592249861844,8.082618480161507,7.370293612116601,-0.31,45.6
53,1,-0.6301860520883393,-0.5702581699778754,8.11877320803471,6.5529357555428644,-0.07,24.2
53,2,-0.43911798188531004,-0.7303800928703079,8.161032400992216,6.75437097208278,0.07,23.8
54,1,-0.9702009446143144,-0.12801666865591949,8.022437747827741,6.375535762528473,-0.63,36.8
54,2,-0.6589858209702036,-0.16461596531704664,8.059939929655766,6.9328380593496,-0.93,37.9
55,1,-0.6430000461723405,-0.0029690717304008112,8.018493747448087,7.096390197832684,0.06,47.5
55,2,-0.4916426705068601,-0.14326637559805558,8.050799040160166,7.348909229498808,0.12,44.6
56,1,-0.808059514521704,-0.4192860712507251,8.114623886420098,6.6285703367843025,-0.27,24.0
56,2,-0.5947889793216427,-0.5961826717795076,8.140548749116267,6.657754273498044,-0.07,24.8
57,1,-1.173829266444236,-0.5534834923415254,8.179031528517761,6.73744134131246,-0.1,37.2
57,2,-1.0873030885700887,-0.8325531293826216,8.212704000648076,7.019922575852885,0.28,39.1
58,1,-0.6851212940524241,0.4316475761204873,8.077260854425825,7.711504215869878,-0.06,40.3
58,2,-0.5255172885309031,0.3279495689139597,8.126961463948662,7.895584971638608,-0.05,39.6
59,1,-0.9792088018416818,-0.4375857195812884,8.004198550365407,6.898108901930332,-0.28,63.7
59,2,-0.7928349670951677,-0.6297320270522075,8.056933931220934,7.458013131991842,-0.23,62.8
60,1,-0.6860093926523055,-0.4101362470854429,8.112707603421573,6.66721121298776,-0.54,31.5
60,2,-0.2902980307909189,-0.40098642292016123,8.136518252115291,7.095976067707081,-0.54,32.8
61,1,-0.48047800239406674,-0.3064382398789153,8.015855745522556,6.658652688497831,-0.57,27.7
61,2,-0.35804726683900484,-0.343037536540043,8.047893314478745,7.042373580706898,-0.22,28.0
62,1,-0.16900913629284728,-0.8081535982752033,8.085363573876744,5.8132346082172806,-0.86,23.6
62,2,0.3767908889484758,-0.8981268692338081,8.073028834168797,6.40968133914131,-0.58,23.7
63,1,-0.5090240288188222,0.18765226504630442,8.006934073821986,6.713442109335804,-0.43,33.4
63,2,-0.31326172315927736,0.1083537889471951,8.02666027091801,7.139501719103615,-0.32,33.7
64,1,-0.9167881573928832,0.5597451144344332,7.990475284981385,7.481161257929534,-0.45,44.9
64,2,-0.7738042828119976,0.43012260542627345,8.025712573914022,7.658605169670372,-0.42,43.0
65,1,-1.2436084421491937,-0.48180986971348444,8.091780445498378,6.878223476376099,-0.31,31.4
65,2,-0.8849434790257116,-0.5916077596968664,8.11877320803471,7.112816322745581,-0.31,32.8
66,1,-0.9995081984103967,-1.308343985977278,8.340097953593864,7.179307969504034,0.13,35.4
66,2,-0.8480239515163612,-1.5142150296961197,8.36224552741478,7.458647411961211,0.51,35.1
67,1,-0.7769760635258591,0.6893676234425924,8.037090740293086,7.224097691927129,-0.81,41.4
67,2,-0.4337893902860226,0.5033211987485283,8.07586253528805,7.529460162087717,-0.36,40.7
68,1,-0.5313533650444086,-0.08684245991215121,8.038834757787749,6.413131034554154,-0.49,32.0
68,2,-0.22914609862766527,-0.2225648516971649,8.07570704572886,6.773880970425809,-0.35,33.1
69,1,-0.5963114340642963,0.3782736018230096,7.9483852851118995,7.506207090702758,-0.64,78.3
